State,Day 1,Day 2,Day 3,Day 4
6000,0.2165579,0.2142457175,0.2335127165,0.1865914147
6001,0.167844484,0.1785639236,0.1517460686,0.1498416533
6002,0.2441785785,0.2311164715,0.1911552587,0.0551098267
6003,0.0737776899,0.0845386824,0.0253950109,0.1031373607
6006,0.0863304185,0.1503085565,0.1682589111,0.1852535861
6007,0.2013843499,0.2117757267,0.2165180811,0.1711474829
6008,0.1212281846,0.1586825084,0.1509408043,0.2030329169
6010,0.063531533,0.0593650055,0.0632782945,0.099010256
6011,0.2227946762,0.258462823,0.2455675958,0.2231034424
6012,0.2438194228,0.2438194228,0.223910968,0.2304369018
6013,0.2322791682,0.113403128,0.1441565263,0.1576254733
6014,0.1260537856,0.1515862897,0.2308238835,0.0380156224
6015,0.0965767718,0.1691920082,0.1215588662,0.1900532168
6016,0.2804329143,0.1615037921,0.1312370599,0.1993123567
6019,0.1364937844,0.0945435289,0.0874037265,0.0945494683
6020,0.1005170341,0.168896238,0.164706624,0.1358940268
6021,0.1309005963,0.1246006606,0.1685262503,0.1415011968
6030,0.1645777796,0.18257995,0.1574055965,0.1538126999
6032,0.2199984498,0.2123667966,0.1154627196,0.1437641221
